RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          479     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  104  114     0     0  con    0  1.0D+00  3.4D-02  6.103D-07  2.746D-07
  105  115     0     0  con    0  1.0D+00  2.0D-02  8.611D-07  2.721D-07
  106  116     0     0  con    0  1.0D+00  1.5D-02  1.183D-06  2.666D-07
  107  117     0     0  con    0  1.0D+00  1.3D-02  8.149D-07  2.608D-07
  108  118     0     0  con    0  1.0D+00  1.7D-02  9.403D-07  2.506D-07
  109  119     0     0  con    0  1.0D+00  1.8D-02  7.473D-07  2.436D-07
  110  120     0     0  con    0  1.0D+00  3.2D-02  9.362D-07  2.387D-07
  111  121     0     0  con    0  1.0D+00  4.5D-02  6.790D-07  2.358D-07
  112  122     0     0  con    0  1.0D+00  5.7D-03  8.973D-07  2.342D-07
  113  123     0     0  con    0  1.0D+00  1.4D-02  6.031D-07  2.334D-07
  114  125     0     0  con    1  2.4D-01  4.1D-03  5.485D-07  2.331D-07
  115  126     0     0  con    0  1.0D+00  6.6D-03  3.982D-07  2.324D-07
  116  127     0     0  con    0  1.0D+00  2.0D-02  8.093D-07  2.294D-07
  117  128     0     0  con    0  1.0D+00  3.5D-02  1.537D-06  2.239D-07
  118  129     0     0  con    0  1.0D+00  5.3D-02  1.261D-06  2.157D-07
  119  131     0     0  con    1  2.7D-01  2.8D-02  2.514D-06  2.107D-07
  120  132     0     0  con    0  1.0D+00  3.6D-02  1.023D-06  2.029D-07
  121  133     0     0  con    0  1.0D+00  2.6D-02  8.421D-07  1.959D-07
  122  134     0     0  con    0  1.0D+00  1.2D-02  1.432D-06  1.923D-07
  123  135     0     0  con    0  1.0D+00  2.2D-02  7.922D-07  1.873D-07
  124  137     0     0  con    1  4.1D-01  2.6D-02  1.951D-06  1.846D-07
  125  138     0     0  con    0  1.0D+00  2.3D-02  6.050D-07  1.808D-07
  126  139     0     0  con    0  1.0D+00  3.0D-02  1.236D-06  1.786D-07
  127  140     0     0  con    0  1.0D+00  9.2D-03  8.881D-07  1.769D-07
  128  141     0     0  con    0  1.0D+00  2.2D-03  4.032D-07  1.762D-07
  129  142     0     0  con    0  1.0D+00  3.0D-03  1.565D-07  1.756D-07
  130  143     0     0  con    0  1.0D+00  2.5D-03  3.444D-07  1.755D-07
  131  144     0     0  con    0  1.0D+00  6.1D-03  5.948D-07  1.753D-07
  132  145     0     0  con    0  1.0D+00  7.3D-03  6.614D-07  1.750D-07
  133  146     0     0  con    0  1.0D+00  1.5D-02  5.337D-07  1.748D-07
  134  147     0     0  con    0  1.0D+00  8.3D-03  1.724D-07  1.742D-07
  135  148     0     0  con    0  1.0D+00  3.9D-03  1.602D-07  1.739D-07
  136  149     0     0  con    0  1.0D+00  5.1D-03  3.458D-07  1.736D-07
  137  150     0     0  con    0  1.0D+00  2.9D-03  3.279D-07  1.735D-07
  138  152     0     0  con    1  4.1D-01  3.8D-03  3.829D-07  1.733D-07
  139  153     0     0  con    0  1.0D+00  5.3D-03  9.414D-08  1.729D-07
  140  154     0     0  con    0  1.0D+00  3.9D-03  3.016D-07  1.725D-07
  141  155     0     0  con    0  1.0D+00  7.9D-03  5.758D-07  1.717D-07
  142  156     0     0  con    0  1.0D+00  1.4D-02  7.020D-07  1.704D-07
  143  157     0     0  con    0  1.0D+00  2.8D-02  7.657D-07  1.685D-07
  144  159     0     0  con    1  4.1D-01  2.2D-02  9.271D-07  1.674D-07
  145  160     0     0  con    0  1.0D+00  1.7D-02  3.061D-07  1.664D-07
  146  161     0     0  con    0  1.0D+00  5.0D-03  1.652D-07  1.661D-07
  147  162     0     0  con    0  1.0D+00  1.9D-03  3.186D-07  1.660D-07
  148  163     0     0  con    0  1.0D+00  2.9D-03  5.155D-07  1.656D-07
  149  164     0     0  con    0  1.0D+00  9.9D-03  7.825D-07  1.646D-07
  150  165     0     0  con    0  1.0D+00  2.2D-02  9.077D-07  1.631D-07
  151  167     0     0  con    1  1.4D-01  1.6D-02  1.136D-06  1.623D-07
  152  168     0     0  con    0  1.0D+00  3.3D-02  8.254D-07  1.604D-07
  153  169     0     0  con    0  1.0D+00  3.2D-02  5.662D-07  1.586D-07
  154  170     0     0  con    0  1.0D+00  3.2D-02  8.007D-07  1.574D-07
  155  171     0     0  con    0  1.0D+00  1.9D-02  7.875D-07  1.561D-07
  156  172     0     0  con    0  1.0D+00  4.3D-02  8.935D-07  1.535D-07
  157  173     0     0  con    0  1.0D+00  4.8D-02  8.550D-07  1.500D-07
